City_ID,City,Country,Max Temp,Current Weather Description,Lat,Lng,Hotel Name
545,Rawah,IQ,55.9,broken clouds,34.4816,41.9093,
547,Mahibadhoo,MV,82.2,clear sky,3.7833,72.9667,Omadhoo Inn
549,Urucara,BR,89.4,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
550,Illapel,CL,78.46,clear sky,-31.6308,-71.1653,Hotel Londres
552,Aktau,KZ,50.58,clear sky,43.65,51.2,Silk Way Hotel
555,Huarmey,PE,75.7,overcast clouds,-10.0681,-78.1522,Hotel Miramar
558,Pochutla,MX,80.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
559,Saint-Pierre,RE,78.44,light rain,-21.3393,55.4781,Lindsey Hôtel
561,Margate,GB,50.97,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
562,Kisumu,KE,80.4,broken clouds,-0.1022,34.7617,Kisumu Hostel
564,Tandil,AR,66.04,moderate rain,-37.3217,-59.1332,Hostal de la Sierra Tandil
565,Azare,NG,82.98,scattered clouds,11.6765,10.1948,Mallam Ayuba Compound
566,Saldanha,ZA,73.45,broken clouds,-33.0117,17.9442,Blue Bay Lodge
568,Arlit,NE,78.39,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
570,Port Lincoln,AU,61.74,few clouds,-34.7333,135.8667,Port Lincoln Hotel
571,Lorengau,PG,79.21,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
573,Montepuez,MZ,73.54,light rain,-13.1256,38.9997,PembaAparthotel
574,De Panne,BE,49.01,broken clouds,51.0792,2.5917,Hotel aan Zee
575,Goundam,ML,86.31,broken clouds,16.4145,-3.6708,
576,Cabedelo,BR,86.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
578,Cristalina,BR,77.67,broken clouds,-16.7686,-47.6136,HOTEL TOPAZIO
579,Cairns,AU,80.55,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
580,Hainburg,DE,49.48,overcast clouds,50.0716,8.9524,Best Western Premier Hotel Villa Stokkum
582,Cabra,ES,72.18,broken clouds,37.4725,-4.4421,MS Fuente Las Piedras
583,Gorey,IE,54.1,overcast clouds,52.6747,-6.2925,Amber Springs Hotel and Health Spa
586,Sohag,EG,59.86,clear sky,26.557,31.6948,Civil Registry - Sohag 1
587,Ocampo,MX,58.93,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
588,Carmo Do Cajuru,BR,77.95,light rain,-20.1842,-44.7711,Hotel Jesus Leão
591,Simpang,ID,75.18,scattered clouds,-1.2667,104.0833,
592,Shimoda,JP,42.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
594,Jibuti,DJ,76.42,clear sky,11.5,42.5,Orchid Main Camp Goubet
595,Dubti,ET,86.92,overcast clouds,11.7361,41.0853,degu Shiferaw
596,Freeport,US,45.18,fog,40.6576,-73.5832,The Freeport Inn and Marina
597,Madras,IN,78.96,few clouds,13.0878,80.2785,City home
603,Itigi,TZ,67.41,light rain,-5.7,34.4833,Hostel San Sebastiano
604,Tacna,PE,71.8,clear sky,-18.0056,-70.2483,Hotel Colón Inn
605,Gamba,GA,76.44,overcast clouds,-2.65,10.0,
606,Catamarca,AR,85.77,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
607,Semnan,IR,44.92,overcast clouds,35.5729,53.3971,Semnan Tourist Hotel
608,Puerto Madryn,AR,81.23,few clouds,-42.7692,-65.0385,Hotel Tolosa
610,Merauke,ID,79.79,overcast clouds,-8.4667,140.3333,
611,Mmabatho,ZA,85.96,few clouds,-25.85,25.6333,Mahikeng Guest Apartments
613,Sumter,US,77.14,overcast clouds,28.7086,-82.0831,Paradise Oaks RV Resort
615,Sulangan,PH,79.86,overcast clouds,11.1373,123.7228,Maia's Beach Resort
616,George,ZA,67.55,broken clouds,-33.963,22.4617,Protea Hotel by Marriott George King George
617,Guaratinga,BR,83.07,few clouds,-16.5667,-39.5667,Hotel Caraíva
619,Phek,IN,43.43,overcast clouds,25.6667,94.5,Prayer Centre
622,Nguru,NG,80.71,clear sky,12.8791,10.4526,Government Lodge
623,Praia Da Vitoria,PT,62.85,scattered clouds,38.7333,-27.0667,Hotel Branco I
624,Peniche,PT,60.89,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
625,Mabaruma,GY,82.4,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
627,Ipixuna,BR,84.15,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
628,Eureka,US,47.19,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
630,Alugan,PH,78.53,overcast clouds,12.2188,125.4808,JM Lodge
633,Pemangkat,ID,77.22,overcast clouds,1.1667,108.9667,Ramah Kost KITA
634,Villamontes,BO,89.04,few clouds,-21.25,-63.5,Hotel Raldes
636,Wagar,SD,88.88,overcast clouds,16.1525,36.2032,
639,Kieta,PG,77.92,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
640,Atar,MR,87.62,clear sky,20.5169,-13.0499,Oumou Elghoura
641,El Sauzal,MX,50.95,clear sky,31.9,-116.6833,Hotel Las Rosas & Spa
642,Stribro,CZ,42.67,overcast clouds,49.7529,13.0041,Hotel Alexander
644,Dumai,ID,74.7,broken clouds,1.6833,101.45,Grand Zuri Dumai
647,Inhambane,MZ,81.48,clear sky,-23.865,35.3833,Oceano
650,Pacific Grove,US,54.28,clear sky,36.6177,-121.9166,Lovers Point Inn
651,Kavaratti,IN,79.86,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
655,Avera,US,68.72,overcast clouds,33.194,-82.5271,
658,Danjiangkou,CN,42.04,clear sky,32.5428,111.5086,Dongsheng Guesthouse
660,Luanda,AO,78.8,few clouds,-8.8368,13.2343,Hotel Fórum
661,Riohacha,CO,84.31,broken clouds,11.5444,-72.9072,Hotel Taroa
664,Nisia Floresta,BR,89.98,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
665,Lakes Entrance,AU,55.17,broken clouds,-37.8811,147.981,The Esplanade Resort & Spa
666,Yulara,AU,67.84,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
669,Celestun,MX,81.84,clear sky,20.8667,-90.4,Posada Lilia
670,Lashio,MM,50.22,clear sky,22.9333,97.75,Hotel CF Lashio - Burmese Only
671,Roald,NO,43.72,light rain,62.5833,6.1333,Flem Cabins
672,Choix,MX,60.21,scattered clouds,26.7092,-108.3219,Hotel Montesclaros
673,Saint-Georges,GD,83.88,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
674,Buala,SB,79.77,light rain,-8.145,159.5921,Maringe Lagoon Lodge
675,Port Washington,US,44.8,overcast clouds,40.8257,-73.6982,The Andrew Hotel
676,Hermiston,US,44.11,overcast clouds,45.8404,-119.2895,Oxford Suites Hermiston
677,Pressbaum,AT,45.79,broken clouds,48.176,16.0477,Hotel Wiental Betriebs Gmbh
678,Tual,ID,83.12,broken clouds,-5.6667,132.75,Grand Vilia Hotel
679,Lagunas,PE,81.05,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
682,Mount Kisco,US,43.41,fog,41.2043,-73.7271,Crabtree's Kittle House Restaurant & Inn
683,Biograd Na Moru,HR,52.5,clear sky,43.9433,15.4519,Villa Maimare
684,Salobrena,ES,75.9,overcast clouds,36.7428,-3.5872,Impressive Playa Granada Golf
686,Maloy,NO,43.74,light rain,61.9353,5.1136,Torget Hotell
689,Aswan,EG,66.74,clear sky,24.0934,32.907,Nuba Nile
