,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather Description
319,San Joaquin,US,37.9333,-121.3011,68.25,56,0,5.75,clear sky
320,Channel-Port Aux Basques,CA,47.5702,-59.1367,37.9,96,100,17.16,overcast clouds
321,Lerwick,GB,60.1545,-1.1494,44.6,88,100,20.22,overcast clouds
322,Maracacume,BR,-2.0428,-45.9592,72.63,98,64,2.91,broken clouds
323,Les Cayes,HT,18.2,-73.75,75.45,78,7,6.73,clear sky
324,Puerto Baquerizo Moreno,EC,-0.9,-89.6,74.73,84,26,5.95,scattered clouds
325,Yurla,RU,59.3259,54.3223,11.23,98,96,3.56,overcast clouds
326,Shushtar,IR,32.0455,48.8567,48.13,65,0,2.3,clear sky
327,Nizwa,OM,22.9333,57.5333,61.5,43,0,0.69,clear sky
328,Oranjestad,AW,12.524,-70.027,80.55,69,20,19.57,few clouds
329,Navalmoral De La Mata,ES,39.8916,-5.5406,50.95,84,89,2.95,overcast clouds
330,Santa Maria,BR,-29.6842,-53.8069,74.5,83,75,2.3,broken clouds
331,Ilhabela,BR,-23.7781,-45.3581,73.49,87,58,3.67,broken clouds
332,Nyuksenitsa,RU,60.4128,44.2397,15.19,96,100,4.56,light snow
333,Tosno,RU,59.54,30.8775,34.63,95,100,10.18,light snow
334,El Vigia,VE,8.6219,-71.6506,75.74,79,84,4.05,broken clouds
335,Willowmore,ZA,-33.2926,23.4895,72.39,51,97,3.69,overcast clouds
336,Saint-Pierre,RE,-21.3393,55.4781,78.44,78,0,5.75,clear sky
337,Asyut,EG,27.181,31.1837,48.38,38,0,4.27,clear sky
338,Mogadishu,SO,2.0371,45.3438,76.87,78,20,13.8,few clouds
339,San Giuliano Terme,IT,43.7616,10.4404,45.84,72,0,4.61,clear sky
340,Yar-Sale,RU,66.8333,70.8333,-10.16,94,86,15.41,overcast clouds
341,Wattegama,LK,6.7989,81.4808,74.32,79,99,3.96,overcast clouds
342,Youkounkoun,GN,12.5333,-13.1333,69.87,14,0,3.62,clear sky
343,Narsaq,GL,60.9167,-46.05,24.17,97,100,4.52,overcast clouds
